Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - Non United States,NGO - Non United States Other,Governance,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",Peace and Security,Conflict Mitigation and Reconciliation,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,150326,SO: Strengthened Peace building & Govern. Prog. in Africa,Strengthened Peace building and Governance Programs in Africa,698-028,2006,80280,104648
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,Federation of Union of Producers of Madaoua,Agriculture,Agriculture,Food crop production,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,31890,Madaoua Onion Production and Export,Onion Producers Capacity Building,1686,2006,75399,98286
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Other,Other Multisector,Multisector aid,Education and Social Services,Social Assistance,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,121627,Development Assistance - Development Assistance,Development Assistance - Development Assistance,674-SSH-05-,2006,75000,97766
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,United Nations Office of Co-ordination of Humanitarian Affairs,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126968,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,75000,97766
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,Union of Onion Sector Cooperative Professionals,Agriculture,Agriculture,Food crop production,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,31800,Galmi Onion Producers Capacity Building,Galmi Onion Producers Capacity Building,1679,2006,74812,97521
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,FUCOM de Tamaske,Agriculture,Agriculture,Food crop production,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,32139,Tamask Onion Producers Capacity Building,Tamask Onion Producers' Capacity Building,1697,2006,73057,95233
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - United States,Enterprise - United States Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126883,OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,Critical needs met of targeted vulnerable groups in emergency situations,961-001,2006,66000,86034
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Government,Government - United States,U.S. Government - Department of State,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126904,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,50000,65177
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Government,Government - United States,U.S. Government - Department of Health and Human Services,Health and Population,Basic Health,Infectious disease control,Health,Other Public Health Threats,"Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,134807,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,47160,61475
6,Department of Health and Human Services,Centers for Disease Control and Prevention,Multilateral,Multilateral - United Nations,United Nations Children's Fund,Health and Population,Basic Health,Infectious disease control,Health,Pandemic Influenza and Other Emerging Threats (PIOET),"Centers for Disease Control, Disease Control, Research, and Training",Department of Health and Human Services,HHS,413724,Polio Eradication. Technical assistance grants to UNICEF.,"Polio Eradication. Technical assistance grants to UNICEF. CDC has provided epidemiologic, laboratory, programmatic expertise, and funding support    to help polio-endemic countries with polio eradication activities.  The Global Polio Eradication Initiative     goal is to eradicate polio and certify the world as polio-free as soon as possible.",CDI -            .,2006,40760,53132
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Government,Government - United States,U.S. Government - Other,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126909,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,30000,39106
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - United States,Personal Services Contractors - USAID,Humanitarian,Emergency Response,Emergency food assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,146717,Title II Program Support - PSC in Washington,Title II Program Support,962-004,2006,23860,31102
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",Peace and Security,Conflict Mitigation and Reconciliation,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,146383,SO: Strengthened Peace building & Govern. Prog. in Africa,Strengthened Peace building and Governance Programs in Africa,698-028,2006,9720,12670
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Government,Government - United States,U.S. Government - U.S. Agency for International Development,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126900,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,7100,9255
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Government,Government - United States,U.S. Government - Department of State,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126813,OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,Critical needs met of targeted vulnerable groups in emergency situations,961-001,2006,1600,2086
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of State,Other,Other Multisector,Multisector aid,Education and Social Services,Social Assistance,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,121564,Development Assistance - Development Assistance,Development Assistance - Development Assistance,698-001,2006,-22,-29
16,Peace Corps,not applicable,Government,Government - United States,U.S. Government - Peace Corps,Other,Other Multisector,Multisector aid,Economic Development,Economic Opportunity,Peace Corps,Peace Corps,PC,63054,U.S. Peace Corps In-Country Funding,"U.S. Peace Corps In-Country Funding for Trainees, Volunteers, and Peace Corps Response (formerly Crisis Corps) Volunteers.  Peace Corps volunteers work primarily in the areas of agriculture, business development, education, environment, health and HIV/AIDS and youth.",,2005,2130067,2867031
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Education and Social Services,Social Services,Public Law 480 Title II Grants,Department of Agriculture,AGR,191895,Commodity Cost of USAID Title II Food Aid for Food For Work,"USAID Title II Food Aid for Food For Work through Africare.  Commodity Cost of S.F.Bulgur / Approximate Number of people fed: 650 / Metric Tons: 8,830.",,2005,2075000,2792912
7,Department of Defense,Office of Counternarcotics,Government,Government - United States,U.S. Government - Department of Defense,Governance,Other Social Infrastructure and Services,Narcotics control,Peace and Security,Counter-Narcotics,"Department of Defense, Drug Interdiction and Counter-Drug Activities",Department of Defense,DOD,20140,In-Country Counternarcotics Program,"In-Country Counternarcotics Program under U.S. European Command. The U.S. Department of Defense International Counter-Drug Program (ICDP) enables the Secretary of Defense to provide foreign governments with support, such as training and equipment, to combat illicit drug trafficking and transnational organized crime.",,2005,1880000,2530446
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Education and Social Services,Social Services,Public Law 480 Title II Grants,Department of Agriculture,AGR,203713,Ocean Freight of USAID Title II Food Aid for Food For Work,"USAID Title II Food Aid for Food For Work through Africare.  Ocean Freight of S.F.Bulgur / Approximate Number of people fed: 650 / Metric Tons: 8,830.",,2005,1456900,1960961
